Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-05-02,1437.07373046875,1450.3983886255028,1425.3915596101972,1449.7003515736615,3158046
2018-05-03,1429.7235107421875,1447.852422558443,1425.0218110762855,1441.2003696516003,3761550
2018-05-04,1429.271484375,1435.944087009804,1424.8573010935145,1433.8909785067874,2347244
2018-05-07,1404.7166748046875,1433.0701311163527,1400.589905523356,1433.0701311163527,3484426
2018-05-08,1413.0316162109375,1431.6328024594268,1394.7589474286503,1410.3625747034125,2992820
2018-05-09,1432.78271484375,1435.020583678913,1412.6211436877693,1412.6211436877693,2615050
2018-05-10,1417.15869140625,1441.7549006698011,1412.6212998126996,1438.3878214746314,3858678
2018-05-11,1419.499267578125,1431.0172311961858,1413.5658015474517,1418.3700574243835,2627876
2018-05-14,1409.8907470703125,1425.2685161095267,1400.5490994928157,1419.5198099079903,2433894
2018-05-15,1429.9493408203125,1435.4517331846505,1409.9520788661828,1416.6452343712208,1952890
2018-05-16,1434.6715087890625,1440.8719382497984,1427.0134520953582,1428.9433545617871,1648450
2018-05-17,1433.8094482421875,1450.788602210076,1427.3216027253584,1442.494060587057,2968048
2018-05-18,1438.0184326171875,1444.444625197303,1419.9305180273525,1429.2927173169905,1874996
2018-05-21,1460.478759765625,1474.9531749710059,1444.5877197176908,1448.9608008076254,3446178
2018-05-22,1440.830810546875,1467.9524007997406,1434.5893791647436,1460.9923812593172,1857416
2018-05-23,1435.164306640625,1455.654294551594,1429.374499106939,1447.4418584751393,1507298
2018-05-24,1479.7576904296875,1484.3977365995167,1438.1412331231077,1441.282449644344,2962316
2018-05-25,1472.407958984375,1508.9533063448437,1466.9672190683502,1488.504316648303,3769772
2018-05-28,1438.0184326171875,1485.0140886194101,1431.4279311287885,1485.0140886194101,3716798
2018-05-29,1446.8260498046875,1455.2437975047005,1432.2489745192988,1449.4539894746586,3525312
2018-05-30,1442.9661865234375,1450.726898868773,1429.9904968328624,1440.8925262699527,3779106
2018-05-31,1441.72412109375,1456.6295135017135,1429.3443039713832,1435.8861353004995,5049371
2018-06-01,1434.602783203125,1455.3461644153174,1421.229412829493,1452.4478932486297,1603856
2018-06-04,1444.3739013671875,1448.3072687351073,1418.1652333200004,1444.9949593726485,1681483
2018-06-05,1425.6180419921875,1450.7088278281467,1416.964673532716,1444.1669961038326,2449568
2018-06-06,1429.054443359375,1436.6313710984812,1420.3181871487475,1426.7772307160383,2236512
2018-06-07,1437.169921875,1448.3075236329892,1427.4400114103416,1428.4336639604953,2414762
2018-06-08,1446.7340087890625,1455.180458939497,1436.7142924417926,1436.7142924417926,2582138
2018-06-11,1448.8868408203125,1459.9003095675862,1443.3387632310282,1446.7338600132914,2179378
2018-06-12,1474.805908203125,1478.1182179351927,1451.6197400786514,1454.932049810719,4608875
2018-06-13,1510.495849609375,1516.7478739347237,1488.883051338929,1503.7884433990516,5370983
2018-06-14,1480.229736328125,1517.2861984641693,1477.2900212447614,1515.3815800885163,3819998
2018-06-15,1523.703857421875,1529.5417424306343,1481.0992146222477,1490.5393171811281,9183574
2018-06-18,1514.55322265625,1546.80678967083,1508.880913963632,1546.80678967083,4674987
2018-06-19,1510.8270263671875,1522.8341471577187,1507.928755831542,1508.8810649385564,3245034
2018-06-20,1509.12939453125,1520.5983456959912,1505.9413172283698,1517.0375729679004,3107695
2018-06-21,1506.5623779296875,1517.0375757299241,1505.1132426908625,1517.0375757299241,2910659
2018-06-22,1498.654296875,1512.897185610947,1490.1665047827655,1512.897185610947,2949458
2018-06-25,1506.47998046875,1509.0470004825781,1495.5079536768242,1500.3936311065684,2083217
2018-06-26,1533.599365234375,1541.0520619336783,1507.928965492331,1509.5851203143984,4679712
2018-06-27,1538.5677490234375,1561.0500697708408,1532.9782267920552,1540.223903758662,4081208
2018-06-28,1525.8978271484375,1549.3324525130108,1512.3174418361896,1544.363989276732,4888125
2018-06-29,1530.0799560546875,1546.3516965455235,1525.566974834521,1527.7199557736494,3506276
2018-07-02,1533.0611572265625,1538.4023173957705,1524.5733634172914,1533.5994277824213,2650290
2018-07-03,1551.85791015625,1556.702140913553,1537.7805996334318,1540.1819423263034,3242233
2018-07-04,1545.3162841796875,1556.7023456589313,1537.8635893932735,1556.7023456589313,2700614
2018-07-05,1557.03369140625,1562.995807164358,1541.9626248273769,1550.9886870563405,2472571
2018-07-06,1584.0706787109375,1590.7367424534898,1558.1519158115334,1559.1455682937049,3713781
2018-07-09,1559.2691650390625,1593.5515768822445,1553.8866639382902,1593.220325828548,6151747
2018-07-10,1552.727783203125,1572.4360641151723,1549.1256670298633,1571.6907743005108,5303302
2018-07-11,1639.5103759765625,1654.4985558907726,1568.5027427595287,1573.3469750713055,22903802
2018-07-12,1632.4302978515625,1648.6192508161537,1623.4456786328622,1642.905496764906,6921701
2018-07-13,1640.50390625,1654.4156452169234,1634.624577681756,1635.4526549754144,4148185
2018-07-16,1647.21142578125,1652.842392200166,1637.4815169093301,1647.8739280953557,2582159
2018-07-17,1661.27587890625,1666.9596184228953,1643.7267317549804,1650.3646993743846,3315492
2018-07-18,1659.6990966796875,1669.1996459195261,1653.7249672178207,1663.6403893727152,2013869
2018-07-19,1644.0587158203125,1668.1627759251096,1634.5995913287568,1661.2344172041053,1746318
2018-07-20,1656.6708984375,1659.4920551887924,1646.216118747282,1646.9629104295884,1934995
2018-07-23,1664.18017578125,1667.748023003127,1647.875645735908,1660.3218364136715,2086201
2018-07-24,1658.6619873046875,1671.9379211700577,1646.3402814433582,1671.9379211700577,2038423
2018-07-25,1644.14111328125,1661.150900221581,1633.27146481099,1661.0679459086039,1535492
2018-07-26,1630.20166015625,1647.045541727644,1622.2361201111555,1638.7065552709646,3503036
2018-07-27,1612.81884765625,1630.1605599605462,1609.9562643644203,1627.0074845279987,2033977
2018-07-30,1613.5240478515625,1621.9044621759601,1602.695923347402,1612.1964745119055,1579251
2018-07-31,1609.8726806640625,1615.5149923386753,1599.7498229219136,1611.3662635447906,2204803
2018-08-01,1639.99267578125,1644.182932847004,1617.8385020571964,1617.9628829050753,2425180
2018-08-02,1616.677001953125,1647.0456829531292,1613.8558455132677,1642.8969532731467,1509287
2018-08-03,1642.440185546875,1644.5976055283415,1623.3975610851096,1623.3975610851096,1505131
2018-08-06,1639.20458984375,1658.6205633072032,1636.466387797702,1657.00259928103,1532249
2018-08-07,1632.400634765625,1642.1916772523894,1626.716895403856,1641.4033578466574,1353521
2018-08-08,1637.9183349609375,1641.4862826898197,1627.9613845964334,1636.25884323352,1315062
2018-08-09,1638.208984375,1643.5609068132153,1631.2806255767402,1642.8970695025155,2060297
2018-08-10,1653.7659912109375,1656.5871466041135,1636.299906510737,1643.6845615714371,2784105
2018-08-13,1659.6162109375,1663.0181487240734,1651.1942701563707,1657.6663284136268,3559575
2018-08-14,1662.437744140625,1679.9038377747977,1644.8885948713075,1652.854136718503,3311765
2018-08-16,1666.5445556640625,1676.1281608381555,1655.3429865819292,1659.7406801439236,2152065
2018-08-17,1670.0711669921875,1677.6633627200226,1662.8108899030399,1670.9838672830679,1213731
2018-08-20,1667.747802734375,1679.405773644424,1662.561890636906,1679.405773644424,1587032
2018-08-21,1674.1365966796875,1679.4054621359392,1662.8105465021847,1667.9135033170296,1376866
2018-08-23,1688.61572265625,1691.0220058268167,1676.335545113519,1678.4099096937775,3046791
2018-08-24,1695.1708984375,1697.6601361738253,1685.213947492199,1688.6158854743749,1570533
2018-08-27,1701.7259521484375,1708.4469756273625,1688.5330720746394,1695.1710399255471,1532702
2018-08-28,1716.9100341796875,1719.2333630230303,1702.6384463915338,1705.1276838862582,1987983
2018-08-29,1719.2335205078125,1723.0504327125586,1697.3282082902058,1719.6483934616028,1525867
2018-08-30,1727.8623046875,1730.0197244624837,1713.8396838739857,1715.9140480519982,2408020
2018-08-31,1724.5438232421875,1735.8284486803086,1720.8930222576291,1727.7799538452462,2504554
2018-09-03,1703.385009765625,1734.1686588545788,1699.651153801584,1729.854021366617,1439711
2018-09-04,1741.5535888671875,1746.4076834131395,1706.745788869388,1709.1106457147866,4420803
2018-09-05,1725.2490234375,1748.4819067638196,1721.7641314534853,1742.466249473969,1681106
2018-09-06,1721.9718017578125,1727.116186106607,1709.5256125713609,1721.7228374591446,2238097
2018-09-07,1725.747314453125,1729.1906793538164,1713.7573225868978,1725.2909136341311,1312182
2018-09-10,1726.493896484375,1736.9901017890045,1721.100547774944,1729.522388191331,1530539
2018-09-11,1697.8675537109375,1733.3391910578612,1694.5070422894503,1733.3391910578612,3679745
2018-09-12,1695.9588623046875,1716.660979193484,1692.6814069581064,1702.9288484663668,2307661
2018-09-14,1713.7568359375,1718.8598939785381,1674.5514495097545,1696.0003574519633,3642038
2018-09-17,1721.017333984375,1724.0460279876834,1704.754436299965,1717.573969616223,1033857
2018-09-18,1718.1959228515625,1724.8754163081558,1707.2848478338503,1720.0628506924008,1456507
2018-09-19,1724.128662109375,1733.3389212271347,1714.9601333698815,1719.1501874672674,1301268
2018-09-21,1745.0799560546875,1759.8910009539727,1701.1034246777142,1723.3821824523345,4508530
2018-09-24,1824.15478515625,1834.1532635020835,1740.9312330696073,1754.9125321451738,3032226
2018-09-25,1811.500732421875,1835.3143929802754,1787.106290401002,1829.5061732062934,2868778
2018-09-26,1777.4398193359375,1824.610947368013,1771.5902737199217,1814.653998132717,1970951
2018-09-27,1816.18896484375,1833.4890412236875,1772.1709147409906,1777.2322419895327,3311802
2018-09-28,1811.9161376953125,1817.143577542908,1791.2970729835317,1807.1866264330838,2904371
2018-10-01,1871.533447265625,1888.4601829756646,1817.434053886326,1817.890252081819,3772208
2018-10-03,1794.6158447265625,1871.076841730148,1788.6001874748802,1867.1770768543352,3902322
2018-10-04,1713.259521484375,1789.4715673780684,1706.248208544166,1789.4302421392772,4762419
2018-10-05,1744.6650390625,1759.0612106607477,1676.8334167783657,1700.9790008747796,3417624
2018-10-08,1723.838623046875,1760.8866961938218,1699.4439722120665,1744.66512344693,2010154
2018-10-09,1735.662353515625,1748.8137032687812,1703.6340837096686,1726.1618043547485,1867130
2018-10-10,1695.66845703125,1747.403086195859,1683.5541888915654,1742.466139316061,2749573
2018-10-11,1642.85498046875,1670.2781167403937,1610.536425530603,1647.045236825475,4700256
2018-10-12,1591.7015380859375,1641.2373258590642,1579.0063857986852,1641.2373258590642,9373289
2018-10-15,1617.5894775390625,1622.6094802694922,1593.1119758271352,1609.7068922420012,2638151
2018-10-16,1628.2105712890625,1636.176112411316,1605.5584656005333,1624.6426230727875,2815425
2018-10-17,1600.91162109375,1650.3644521941371,1593.1119900516558,1634.599281459251,2779207
2018-10-19,1587.4698486328125,1600.5798746424887,1551.6663933273717,1600.5798746424887,3428776
2018-10-22,1579.00634765625,1589.7930436728193,1565.68888629009,1588.1335519779625,1778496
2018-10-23,1532.9830322265625,1578.174684260223,1527.4535800769388,1569.8597491482094,2752811
2018-10-24,1537.0159912109375,1558.219078998808,1505.918108821923,1539.96783422874,2735913
2018-10-25,1540.7578125,1560.6305320547262,1517.5176043904157,1533.2743692660551,2507233
2018-10-26,1495.93994140625,1541.5058259849022,1489.2879933802087,1541.5058259849022,2285970
2018-10-29,1555.7247314453125,1561.503572129665,1483.6757811720377,1503.922632710858,2609483
2018-10-30,1575.5140380859375,1587.6538237617838,1534.1056181977274,1552.3984765177001,2404883
2018-10-31,1611.559326171875,1616.340414327468,1559.424617035695,1579.8378253263695,2769190
2018-11-01,1609.5638427734375,1616.7146679067757,1580.918926957056,1616.1326629485131,2769759
2018-11-02,1591.0213623046875,1625.2373436853534,1583.9952820998456,1608.2748542225731,1818635
2018-11-05,1572.22998046875,1602.5795031850228,1567.1578887532946,1588.153106522771,1713366
2018-11-06,1607.0279541015625,1611.0191647616405,1572.354704807361,1574.8491860947338,1398710
2018-11-07,1614.8853759765625,1620.5810870495854,1610.6031634761657,1613.0976443695208,144530
2018-11-09,1587.4874267578125,1631.348711014642,1583.995194488345,1630.5588327515195,2570479
2018-11-12,1592.1856689453125,1618.1698467080198,1586.9057043240691,1586.9057043240691,2552008
2018-11-13,1608.8988037109375,1612.2663940254026,1582.332618788211,1592.3105438672749,1418432
2018-11-14,1563.74853515625,1604.6995969469413,1554.8931075856378,1600.625257808745,2422318
2018-11-15,1557.2630615234375,1579.0066435555302,1544.5827817371173,1549.90436207873,1829123
2018-11-16,1568.6959228515625,1579.6717000933334,1555.1010217743392,1570.6915279410382,1829729
2018-11-19,1581.874755859375,1585.9490942770167,1550.1533602878885,1579.0061439075207,1740628
2018-11-20,1561.752685546875,1581.5006564142986,1558.3850962302663,1581.5006564142986,1190182
2018-11-21,1506.66650390625,1555.7662448683716,1495.48295483901,1555.7246295853165,3840461
2018-11-22,1507.123779296875,1536.267569347509,1504.9618147162214,1513.3183660742127,3194219
2018-11-26,1535.0206298828125,1546.5784135963886,1483.8006339047074,1512.487168995608,4333177
